item sound pos
123 PRAC 1
125 PRAC 1
126 PRAC 1
121 PRAC 1
122 PRAC 1
124 PRAC 1
41 STD 3
42 STD 4
43 STD 5
61 STD 3
55 STD 5
93 DEV 3
77 STD 3
117 DEV 3
84 DEV 2
54 STD 4
70 STD 4
74 STD 4
66 STD 4
57 STD 3
104 DEV 2
50 STD 4
83 DEV 5
88 DEV 2
71 STD 5
79 STD 5
73 STD 3
101 DEV 3
67 STD 5
96 DEV 2
102 DEV 4
56 STD 2
44 STD 2
76 STD 2
45 STD 3
109 DEV 3
110 DEV 4
100 DEV 2
53 STD 3
97 DEV 3
82 DEV 4
58 STD 4
90 DEV 4
49 STD 3
116 DEV 2
78 STD 4
114 DEV 4
75 STD 5
51 STD 5
86 DEV 4
94 DEV 4
62 STD 4
47 STD 5
81 DEV 3
48 STD 2
59 STD 5
69 STD 3
111 DEV 5
106 DEV 4
80 STD 2
87 DEV 5
99 DEV 5
119 DEV 5
60 STD 2
63 STD 5
46 STD 4
52 STD 2
108 DEV 2
98 DEV 4
72 STD 2
107 DEV 5
68 STD 2
95 DEV 5
103 DEV 5
65 STD 3
112 DEV 2
115 DEV 5
113 DEV 3
120 DEV 2
64 STD 2
89 DEV 3
91 DEV 5
105 DEV 3
85 DEV 3
118 DEV 4
92 DEV 2
36 SLC 2
15 SLC 5
32 SLC 2
5 SLC 3
20 SLC 2
19 SLC 5
38 SLC 4
24 SLC 2
1 SLC 3
28 SLC 2
31 SLC 5
34 SLC 4
25 SLC 3
6 SLC 4
30 SLC 4
4 SLC 2
23 SLC 5
7 SLC 5
29 SLC 3
33 SLC 3
14 SLC 4
13 SLC 3
10 SLC 4
37 SLC 3
39 SLC 5
3 SLC 5
18 SLC 4
12 SLC 2
9 SLC 3
17 SLC 3
2 SLC 4
40 SLC 2
22 SLC 4
26 SLC 4
8 SLC 2
35 SLC 5
16 SLC 2
27 SLC 5
21 SLC 3
11 SLC 5
