item sound pos
126 PRAC 1
125 PRAC 1
122 PRAC 1
123 PRAC 1
121 PRAC 1
124 PRAC 1
103 SLC 5
110 SLC 4
87 SLC 5
94 SLC 4
117 SLC 3
89 SLC 3
99 SLC 5
109 SLC 3
111 SLC 5
98 SLC 4
108 SLC 2
81 SLC 3
101 SLC 3
93 SLC 3
106 SLC 4
90 SLC 4
114 SLC 4
85 SLC 3
102 SLC 4
91 SLC 5
100 SLC 2
116 SLC 2
84 SLC 2
112 SLC 2
83 SLC 5
118 SLC 4
95 SLC 5
96 SLC 2
86 SLC 4
104 SLC 2
82 SLC 4
105 SLC 3
97 SLC 3
92 SLC 2
120 SLC 2
107 SLC 5
113 SLC 3
119 SLC 5
115 SLC 5
88 SLC 2
1 STD 3
2 STD 4
3 STD 5
68 DEV 2
48 DEV 2
56 DEV 2
14 STD 4
6 STD 4
71 DEV 5
46 DEV 4
80 DEV 2
7 STD 5
22 STD 4
58 DEV 4
64 DEV 2
29 STD 3
75 DEV 5
5 STD 3
59 DEV 5
35 STD 5
53 DEV 3
60 DEV 2
62 DEV 4
52 DEV 2
16 STD 2
36 STD 2
27 STD 5
23 STD 5
13 STD 3
69 DEV 3
57 DEV 3
39 STD 5
33 STD 3
45 DEV 3
17 STD 3
20 STD 2
37 STD 3
55 DEV 5
38 STD 4
66 DEV 4
43 DEV 5
25 STD 3
18 STD 4
61 DEV 3
31 STD 5
4 STD 2
79 DEV 5
32 STD 2
21 STD 3
67 DEV 5
42 DEV 4
11 STD 5
65 DEV 3
26 STD 4
40 STD 2
78 DEV 4
19 STD 5
50 DEV 4
47 DEV 5
24 STD 2
44 DEV 2
73 DEV 3
28 STD 2
51 DEV 5
76 DEV 2
54 DEV 4
8 STD 2
70 DEV 4
9 STD 3
10 STD 4
12 STD 2
34 STD 4
74 DEV 4
63 DEV 5
77 DEV 3
41 DEV 3
49 DEV 3
30 STD 4
72 DEV 2
15 STD 5
