item sound pos
125 PRAC 1
123 PRAC 1
124 PRAC 1
126 PRAC 1
122 PRAC 1
121 PRAC 1
100 SLC 2
113 SLC 3
99 SLC 5
103 SLC 5
92 SLC 2
88 SLC 2
110 SLC 4
109 SLC 3
98 SLC 4
117 SLC 3
104 SLC 2
97 SLC 3
108 SLC 2
87 SLC 5
118 SLC 4
101 SLC 3
84 SLC 2
116 SLC 2
93 SLC 3
90 SLC 4
86 SLC 4
112 SLC 2
96 SLC 2
89 SLC 3
95 SLC 5
105 SLC 3
82 SLC 4
106 SLC 4
120 SLC 2
119 SLC 5
111 SLC 5
83 SLC 5
85 SLC 3
94 SLC 4
107 SLC 5
115 SLC 5
91 SLC 5
102 SLC 4
81 SLC 3
114 SLC 4
1 STD 3
2 STD 4
3 STD 5
40 STD 2
12 STD 2
66 DEV 4
53 DEV 3
22 STD 4
45 DEV 3
5 STD 3
13 STD 3
11 STD 5
72 DEV 2
57 DEV 3
31 STD 5
33 STD 3
80 DEV 2
37 STD 3
67 DEV 5
74 DEV 4
71 DEV 5
14 STD 4
60 DEV 2
20 STD 2
46 DEV 4
52 DEV 2
73 DEV 3
10 STD 4
21 STD 3
16 STD 2
43 DEV 5
28 STD 2
61 DEV 3
48 DEV 2
47 DEV 5
25 STD 3
8 STD 2
23 STD 5
7 STD 5
30 STD 4
36 STD 2
63 DEV 5
70 DEV 4
24 STD 2
41 DEV 3
51 DEV 5
56 DEV 2
79 DEV 5
4 STD 2
69 DEV 3
49 DEV 3
42 DEV 4
50 DEV 4
27 STD 5
26 STD 4
78 DEV 4
38 STD 4
68 DEV 2
9 STD 3
62 DEV 4
58 DEV 4
19 STD 5
32 STD 2
6 STD 4
54 DEV 4
39 STD 5
17 STD 3
34 STD 4
59 DEV 5
55 DEV 5
44 DEV 2
77 DEV 3
15 STD 5
65 DEV 3
75 DEV 5
29 STD 3
64 DEV 2
18 STD 4
76 DEV 2
35 STD 5
