item sound pos
125 PRAC 1
123 PRAC 1
121 PRAC 1
126 PRAC 1
124 PRAC 1
122 PRAC 1
104 SLC 2
106 SLC 4
94 SLC 4
97 SLC 3
111 SLC 5
98 SLC 4
118 SLC 4
107 SLC 5
109 SLC 3
103 SLC 5
90 SLC 4
117 SLC 3
96 SLC 2
84 SLC 2
114 SLC 4
120 SLC 2
88 SLC 2
112 SLC 2
116 SLC 2
119 SLC 5
115 SLC 5
101 SLC 3
87 SLC 5
102 SLC 4
82 SLC 4
86 SLC 4
81 SLC 3
100 SLC 2
83 SLC 5
93 SLC 3
99 SLC 5
91 SLC 5
89 SLC 3
95 SLC 5
108 SLC 2
113 SLC 3
92 SLC 2
110 SLC 4
85 SLC 3
105 SLC 3
1 STD 3
2 STD 4
3 STD 5
41 DEV 3
68 DEV 2
59 DEV 5
10 STD 4
13 STD 3
7 STD 5
8 STD 2
6 STD 4
72 DEV 2
31 STD 5
55 DEV 5
44 DEV 2
45 DEV 3
46 DEV 4
80 DEV 2
29 STD 3
62 DEV 4
76 DEV 2
61 DEV 3
28 STD 2
60 DEV 2
54 DEV 4
71 DEV 5
65 DEV 3
75 DEV 5
37 STD 3
53 DEV 3
39 STD 5
56 DEV 2
23 STD 5
35 STD 5
11 STD 5
24 STD 2
50 DEV 4
70 DEV 4
57 DEV 3
16 STD 2
19 STD 5
51 DEV 5
77 DEV 3
9 STD 3
27 STD 5
17 STD 3
15 STD 5
18 STD 4
34 STD 4
20 STD 2
67 DEV 5
26 STD 4
36 STD 2
21 STD 3
79 DEV 5
30 STD 4
52 DEV 2
33 STD 3
32 STD 2
66 DEV 4
64 DEV 2
63 DEV 5
48 DEV 2
40 STD 2
25 STD 3
4 STD 2
5 STD 3
74 DEV 4
38 STD 4
49 DEV 3
69 DEV 3
22 STD 4
78 DEV 4
14 STD 4
47 DEV 5
58 DEV 4
43 DEV 5
42 DEV 4
73 DEV 3
12 STD 2
