item sound pos
122 PRAC 1
124 PRAC 1
121 PRAC 1
125 PRAC 1
123 PRAC 1
126 PRAC 1
18 SLC 3
12 SLC 5
6 SLC 3
16 SLC 5
7 SLC 4
9 SLC 2
5 SLC 2
10 SLC 3
36 SLC 5
3 SLC 4
14 SLC 3
22 SLC 3
39 SLC 4
20 SLC 5
2 SLC 3
17 SLC 2
31 SLC 4
4 SLC 5
35 SLC 4
13 SLC 2
11 SLC 4
8 SLC 5
24 SLC 5
19 SLC 4
40 SLC 5
26 SLC 3
25 SLC 2
38 SLC 3
27 SLC 4
30 SLC 3
21 SLC 2
34 SLC 3
15 SLC 4
29 SLC 2
1 SLC 2
23 SLC 4
28 SLC 5
33 SLC 2
32 SLC 5
37 SLC 2
41 STD 2
42 STD 3
43 STD 4
114 DEV 3
85 DEV 2
56 STD 5
62 STD 3
90 DEV 3
52 STD 5
53 STD 2
72 STD 5
101 DEV 2
80 STD 5
89 DEV 2
48 STD 5
117 DEV 2
105 DEV 2
46 STD 3
66 STD 3
83 DEV 4
88 DEV 5
106 DEV 3
77 STD 2
112 DEV 5
73 STD 2
69 STD 2
76 STD 5
49 STD 2
71 STD 4
59 STD 4
91 DEV 4
60 STD 5
79 STD 4
64 STD 5
107 DEV 4
57 STD 2
102 DEV 3
109 DEV 2
98 DEV 3
67 STD 4
108 DEV 5
96 DEV 5
93 DEV 2
116 DEV 5
70 STD 3
58 STD 3
75 STD 4
94 DEV 3
44 STD 5
50 STD 3
81 DEV 2
115 DEV 4
63 STD 4
111 DEV 4
104 DEV 5
54 STD 3
51 STD 4
110 DEV 3
100 DEV 5
61 STD 2
74 STD 3
99 DEV 4
118 DEV 3
87 DEV 4
45 STD 2
78 STD 3
103 DEV 4
97 DEV 2
120 DEV 5
113 DEV 2
95 DEV 4
82 DEV 3
86 DEV 3
84 DEV 5
119 DEV 4
65 STD 2
47 STD 4
55 STD 4
68 STD 5
92 DEV 5
