item sound pos
125 PRAC 1
124 PRAC 1
126 PRAC 1
123 PRAC 1
121 PRAC 1
122 PRAC 1
41 STD 5
42 STD 2
43 STD 3
107 DEV 3
112 DEV 4
53 STD 5
101 DEV 5
66 STD 2
52 STD 4
58 STD 2
86 DEV 2
59 STD 3
91 DEV 3
96 DEV 4
97 DEV 5
60 STD 4
44 STD 4
73 STD 5
77 STD 5
69 STD 5
54 STD 2
64 STD 4
49 STD 5
93 DEV 5
84 DEV 4
81 DEV 5
74 STD 2
68 STD 4
92 DEV 4
116 DEV 4
83 DEV 3
98 DEV 2
61 STD 5
75 STD 3
102 DEV 2
80 STD 4
85 DEV 5
103 DEV 3
106 DEV 2
87 DEV 3
108 DEV 4
79 STD 3
94 DEV 2
119 DEV 3
89 DEV 5
62 STD 2
100 DEV 4
120 DEV 4
117 DEV 5
51 STD 3
115 DEV 3
56 STD 4
57 STD 5
88 DEV 4
95 DEV 3
70 STD 2
114 DEV 2
113 DEV 5
72 STD 4
110 DEV 2
46 STD 2
63 STD 3
104 DEV 4
109 DEV 5
55 STD 3
118 DEV 2
71 STD 3
45 STD 5
78 STD 2
76 STD 4
48 STD 4
99 DEV 3
50 STD 2
105 DEV 5
90 DEV 2
67 STD 3
65 STD 5
82 DEV 2
47 STD 3
111 DEV 3
17 SLC 5
39 SLC 3
19 SLC 3
6 SLC 2
32 SLC 4
2 SLC 2
7 SLC 3
15 SLC 3
24 SLC 4
1 SLC 5
21 SLC 5
30 SLC 2
20 SLC 4
27 SLC 3
8 SLC 4
36 SLC 4
23 SLC 3
13 SLC 5
14 SLC 2
16 SLC 4
9 SLC 5
3 SLC 3
35 SLC 3
11 SLC 3
10 SLC 2
22 SLC 2
37 SLC 5
4 SLC 4
34 SLC 2
38 SLC 2
40 SLC 4
26 SLC 2
5 SLC 5
25 SLC 5
31 SLC 3
18 SLC 2
33 SLC 5
12 SLC 4
28 SLC 4
29 SLC 5
