item sound pos
124 PRAC 1
122 PRAC 1
123 PRAC 1
126 PRAC 1
121 PRAC 1
125 PRAC 1
54 SLC 5
52 SLC 3
48 SLC 3
78 SLC 5
59 SLC 2
44 SLC 3
70 SLC 5
72 SLC 3
77 SLC 4
55 SLC 2
80 SLC 3
50 SLC 5
56 SLC 3
65 SLC 4
63 SLC 2
68 SLC 3
71 SLC 2
62 SLC 5
76 SLC 3
46 SLC 5
79 SLC 2
42 SLC 5
49 SLC 4
45 SLC 4
69 SLC 4
43 SLC 2
60 SLC 3
67 SLC 2
53 SLC 4
58 SLC 5
41 SLC 4
73 SLC 4
57 SLC 4
47 SLC 2
64 SLC 3
61 SLC 4
75 SLC 2
66 SLC 5
74 SLC 5
51 SLC 2
81 STD 4
82 STD 5
83 STD 2
3 DEV 2
115 STD 2
120 STD 3
93 STD 4
12 DEV 3
101 STD 4
17 DEV 4
23 DEV 2
112 STD 3
11 DEV 2
117 STD 4
106 STD 5
28 DEV 3
34 DEV 5
27 DEV 2
87 STD 2
25 DEV 4
38 DEV 5
90 STD 5
20 DEV 3
100 STD 3
109 STD 4
22 DEV 5
89 STD 4
13 DEV 4
86 STD 5
104 STD 3
26 DEV 5
31 DEV 2
5 DEV 4
24 DEV 3
91 STD 2
113 STD 4
32 DEV 3
19 DEV 2
98 STD 5
85 STD 4
7 DEV 2
18 DEV 5
99 STD 2
40 DEV 3
37 DEV 4
108 STD 3
97 STD 4
30 DEV 5
36 DEV 3
95 STD 2
88 STD 3
4 DEV 3
33 DEV 4
39 DEV 2
114 STD 5
35 DEV 2
14 DEV 5
118 STD 5
103 STD 2
102 STD 5
10 DEV 5
6 DEV 5
21 DEV 4
96 STD 3
84 STD 3
29 DEV 4
110 STD 5
107 STD 2
9 DEV 4
15 DEV 2
16 DEV 3
2 DEV 5
8 DEV 3
1 DEV 4
116 STD 3
111 STD 2
94 STD 5
105 STD 4
92 STD 3
119 STD 2
