item sound pos
125 PRAC 1
126 PRAC 1
122 PRAC 1
124 PRAC 1
121 PRAC 1
123 PRAC 1
81 STD 5
82 STD 2
83 STD 3
115 STD 3
104 STD 4
18 DEV 2
13 DEV 5
10 DEV 2
93 STD 5
12 DEV 4
97 STD 5
33 DEV 5
38 DEV 2
22 DEV 2
109 STD 5
114 STD 2
9 DEV 5
92 STD 4
107 STD 3
108 STD 4
94 STD 2
15 DEV 3
8 DEV 4
98 STD 2
20 DEV 4
36 DEV 4
85 STD 5
21 DEV 5
4 DEV 4
37 DEV 5
118 STD 2
25 DEV 5
17 DEV 5
103 STD 3
40 DEV 4
112 STD 4
111 STD 3
30 DEV 2
105 STD 5
96 STD 4
6 DEV 2
35 DEV 3
113 STD 5
88 STD 4
27 DEV 3
116 STD 4
119 STD 3
34 DEV 2
86 STD 2
90 STD 2
89 STD 5
5 DEV 5
102 STD 2
3 DEV 3
117 STD 5
14 DEV 2
11 DEV 3
87 STD 3
1 DEV 5
100 STD 4
16 DEV 4
39 DEV 3
31 DEV 3
24 DEV 4
120 STD 4
2 DEV 2
23 DEV 3
106 STD 2
95 STD 3
28 DEV 4
26 DEV 2
29 DEV 5
19 DEV 3
7 DEV 3
101 STD 5
32 DEV 4
91 STD 3
110 STD 2
99 STD 3
84 STD 4
58 SLC 2
73 SLC 5
69 SLC 5
51 SLC 3
76 SLC 4
44 SLC 4
70 SLC 2
59 SLC 3
45 SLC 5
67 SLC 3
55 SLC 3
77 SLC 5
49 SLC 5
47 SLC 3
75 SLC 3
68 SLC 4
74 SLC 2
65 SLC 5
41 SLC 5
72 SLC 4
42 SLC 2
48 SLC 4
57 SLC 5
60 SLC 4
64 SLC 4
46 SLC 2
54 SLC 2
79 SLC 3
66 SLC 2
71 SLC 3
50 SLC 2
43 SLC 3
78 SLC 2
61 SLC 5
53 SLC 5
62 SLC 2
80 SLC 4
52 SLC 4
56 SLC 4
63 SLC 3
