item sound pos
122 PRAC 1
125 PRAC 1
123 PRAC 1
124 PRAC 1
126 PRAC 1
121 PRAC 1
23 SLC 4
17 SLC 2
18 SLC 3
28 SLC 5
19 SLC 4
12 SLC 5
40 SLC 5
24 SLC 5
13 SLC 2
29 SLC 2
14 SLC 3
32 SLC 5
26 SLC 3
25 SLC 2
15 SLC 4
36 SLC 5
9 SLC 2
30 SLC 3
6 SLC 3
4 SLC 5
16 SLC 5
27 SLC 4
2 SLC 3
35 SLC 4
37 SLC 2
11 SLC 4
38 SLC 3
39 SLC 4
10 SLC 3
33 SLC 2
8 SLC 5
21 SLC 2
1 SLC 2
3 SLC 4
5 SLC 2
22 SLC 3
34 SLC 3
31 SLC 4
7 SLC 4
20 SLC 5
41 STD 2
42 STD 3
43 STD 4
87 DEV 4
113 DEV 2
77 STD 2
88 DEV 5
59 STD 4
70 STD 3
55 STD 4
116 DEV 5
104 DEV 5
68 STD 5
86 DEV 3
65 STD 2
79 STD 4
49 STD 2
90 DEV 3
93 DEV 2
47 STD 4
54 STD 3
51 STD 4
114 DEV 3
63 STD 4
64 STD 5
95 DEV 4
62 STD 3
107 DEV 4
72 STD 5
112 DEV 5
109 DEV 2
120 DEV 5
110 DEV 3
99 DEV 4
45 STD 2
91 DEV 4
84 DEV 5
100 DEV 5
83 DEV 4
75 STD 4
92 DEV 5
74 STD 3
57 STD 2
67 STD 4
115 DEV 4
73 STD 2
44 STD 5
117 DEV 2
66 STD 3
61 STD 2
101 DEV 2
103 DEV 4
56 STD 5
108 DEV 5
52 STD 5
80 STD 5
96 DEV 5
119 DEV 4
94 DEV 3
106 DEV 3
102 DEV 3
60 STD 5
118 DEV 3
105 DEV 2
82 DEV 3
76 STD 5
98 DEV 3
50 STD 3
58 STD 3
53 STD 2
81 DEV 2
97 DEV 2
69 STD 2
48 STD 5
85 DEV 2
46 STD 3
111 DEV 4
71 STD 4
78 STD 3
89 DEV 2
