item sound pos
121 PRAC 1
123 PRAC 1
125 PRAC 1
122 PRAC 1
126 PRAC 1
124 PRAC 1
1 STD 2
2 STD 3
3 STD 4
5 STD 2
67 DEV 4
75 DEV 4
60 DEV 5
62 DEV 3
78 DEV 3
13 STD 2
55 DEV 4
57 DEV 2
33 STD 2
49 DEV 2
12 STD 5
29 STD 2
47 DEV 4
77 DEV 2
27 STD 4
42 DEV 3
72 DEV 5
10 STD 3
20 STD 5
7 STD 4
16 STD 5
58 DEV 3
22 STD 3
11 STD 4
73 DEV 2
79 DEV 4
36 STD 5
59 DEV 4
68 DEV 5
21 STD 2
46 DEV 3
61 DEV 2
48 DEV 5
76 DEV 5
4 STD 5
40 STD 5
63 DEV 4
51 DEV 4
31 STD 4
37 STD 2
25 STD 2
39 STD 4
15 STD 4
9 STD 2
71 DEV 4
45 DEV 2
74 DEV 3
38 STD 3
43 DEV 4
32 STD 5
65 DEV 2
8 STD 5
28 STD 5
6 STD 3
41 DEV 2
34 STD 3
66 DEV 3
53 DEV 2
56 DEV 5
52 DEV 5
35 STD 4
44 DEV 5
24 STD 5
17 STD 2
70 DEV 3
23 STD 4
54 DEV 3
19 STD 4
50 DEV 3
14 STD 3
18 STD 3
26 STD 3
30 STD 3
69 DEV 2
64 DEV 5
80 DEV 5
86 SLC 3
87 SLC 4
99 SLC 4
94 SLC 3
88 SLC 5
109 SLC 2
107 SLC 4
98 SLC 3
100 SLC 5
84 SLC 5
91 SLC 4
117 SLC 2
92 SLC 5
105 SLC 2
102 SLC 3
93 SLC 2
108 SLC 5
111 SLC 4
113 SLC 2
110 SLC 3
96 SLC 5
82 SLC 3
85 SLC 2
83 SLC 4
97 SLC 2
106 SLC 3
81 SLC 2
104 SLC 5
119 SLC 4
114 SLC 3
101 SLC 2
120 SLC 5
112 SLC 5
118 SLC 3
89 SLC 2
95 SLC 4
115 SLC 4
116 SLC 5
103 SLC 4
90 SLC 3
