item sound pos
122 PRAC 1
125 PRAC 1
121 PRAC 1
126 PRAC 1
124 PRAC 1
123 PRAC 1
41 STD 5
42 STD 2
43 STD 3
103 DEV 3
104 DEV 4
96 DEV 4
58 STD 2
78 STD 2
67 STD 3
86 DEV 2
119 DEV 3
59 STD 3
107 DEV 3
44 STD 4
108 DEV 4
76 STD 4
56 STD 4
109 DEV 5
114 DEV 2
45 STD 5
111 DEV 3
98 DEV 2
84 DEV 4
77 STD 5
82 DEV 2
72 STD 4
92 DEV 4
100 DEV 4
51 STD 3
91 DEV 3
117 DEV 5
87 DEV 3
106 DEV 2
75 STD 3
63 STD 3
105 DEV 5
81 DEV 5
65 STD 5
60 STD 4
88 DEV 4
89 DEV 5
55 STD 3
52 STD 4
71 STD 3
66 STD 2
70 STD 2
93 DEV 5
48 STD 4
118 DEV 2
69 STD 5
110 DEV 2
68 STD 4
53 STD 5
113 DEV 5
120 DEV 4
112 DEV 4
62 STD 2
85 DEV 5
61 STD 5
97 DEV 5
46 STD 2
80 STD 4
47 STD 3
99 DEV 3
74 STD 2
73 STD 5
57 STD 5
79 STD 3
64 STD 4
102 DEV 2
54 STD 2
83 DEV 3
90 DEV 2
50 STD 2
101 DEV 5
115 DEV 3
49 STD 5
116 DEV 4
94 DEV 2
95 DEV 3
12 SLC 4
14 SLC 2
22 SLC 2
34 SLC 2
1 SLC 5
35 SLC 3
4 SLC 4
16 SLC 4
19 SLC 3
10 SLC 2
13 SLC 5
38 SLC 2
20 SLC 4
5 SLC 5
11 SLC 3
23 SLC 3
7 SLC 3
29 SLC 5
3 SLC 3
27 SLC 3
6 SLC 2
24 SLC 4
39 SLC 3
37 SLC 5
15 SLC 3
25 SLC 5
26 SLC 2
33 SLC 5
31 SLC 3
40 SLC 4
17 SLC 5
2 SLC 2
21 SLC 5
32 SLC 4
9 SLC 5
28 SLC 4
18 SLC 2
30 SLC 2
8 SLC 4
36 SLC 4
