item sound pos
125 PRAC 1
122 PRAC 1
123 PRAC 1
121 PRAC 1
124 PRAC 1
126 PRAC 1
39 SLC 2
29 SLC 4
18 SLC 5
26 SLC 5
2 SLC 5
17 SLC 4
7 SLC 2
28 SLC 3
33 SLC 4
34 SLC 5
23 SLC 2
4 SLC 3
36 SLC 3
20 SLC 3
27 SLC 2
13 SLC 4
30 SLC 5
11 SLC 2
25 SLC 4
12 SLC 3
3 SLC 2
38 SLC 5
40 SLC 3
9 SLC 4
19 SLC 2
31 SLC 2
10 SLC 5
6 SLC 5
14 SLC 5
22 SLC 5
24 SLC 3
21 SLC 4
32 SLC 3
1 SLC 4
35 SLC 2
8 SLC 3
15 SLC 2
5 SLC 4
37 SLC 4
16 SLC 3
41 STD 4
42 STD 5
43 STD 2
92 DEV 3
45 STD 4
73 STD 4
76 STD 3
87 DEV 2
80 STD 3
52 STD 3
103 DEV 2
82 DEV 5
89 DEV 4
59 STD 2
111 DEV 2
49 STD 4
71 STD 2
100 DEV 3
75 STD 2
105 DEV 4
114 DEV 5
108 DEV 3
106 DEV 5
95 DEV 2
46 STD 5
68 STD 3
86 DEV 5
113 DEV 4
50 STD 5
79 STD 2
77 STD 4
96 DEV 3
58 STD 5
81 DEV 4
107 DEV 2
115 DEV 2
99 DEV 2
47 STD 2
53 STD 4
57 STD 4
98 DEV 5
109 DEV 4
119 DEV 2
64 STD 3
61 STD 4
55 STD 2
120 DEV 3
69 STD 4
83 DEV 2
54 STD 5
102 DEV 5
84 DEV 3
72 STD 3
85 DEV 4
51 STD 2
67 STD 2
48 STD 3
117 DEV 4
90 DEV 5
63 STD 2
112 DEV 3
101 DEV 4
97 DEV 4
70 STD 5
66 STD 5
78 STD 5
74 STD 5
60 STD 3
62 STD 5
88 DEV 3
93 DEV 4
56 STD 3
116 DEV 3
91 DEV 2
44 STD 3
65 STD 4
110 DEV 5
94 DEV 5
118 DEV 5
104 DEV 3
