item sound pos
125 PRAC 1
123 PRAC 1
124 PRAC 1
121 PRAC 1
122 PRAC 1
126 PRAC 1
41 STD 3
42 STD 4
43 STD 5
64 STD 2
68 STD 2
101 DEV 3
55 STD 5
109 DEV 3
49 STD 3
116 DEV 2
48 STD 2
86 DEV 4
92 DEV 2
71 STD 5
62 STD 4
76 STD 2
60 STD 2
104 DEV 2
93 DEV 3
75 STD 5
54 STD 4
74 STD 4
105 DEV 3
91 DEV 5
52 STD 2
66 STD 4
94 DEV 4
79 STD 5
117 DEV 3
102 DEV 4
113 DEV 3
65 STD 3
69 STD 3
88 DEV 2
120 DEV 2
73 STD 3
57 STD 3
50 STD 4
58 STD 4
51 STD 5
103 DEV 5
63 STD 5
114 DEV 4
95 DEV 5
61 STD 3
98 DEV 4
72 STD 2
97 DEV 3
90 DEV 4
56 STD 2
96 DEV 2
70 STD 4
78 STD 4
80 STD 2
83 DEV 5
46 STD 4
53 STD 3
115 DEV 5
119 DEV 5
108 DEV 2
45 STD 3
118 DEV 4
100 DEV 2
87 DEV 5
84 DEV 2
77 STD 3
89 DEV 3
59 STD 5
106 DEV 4
111 DEV 5
81 DEV 3
112 DEV 2
107 DEV 5
110 DEV 4
47 STD 5
67 STD 5
99 DEV 5
85 DEV 3
82 DEV 4
44 STD 2
15 SLC 5
25 SLC 3
8 SLC 2
1 SLC 3
16 SLC 2
31 SLC 5
21 SLC 3
22 SLC 4
23 SLC 5
11 SLC 5
17 SLC 3
2 SLC 4
24 SLC 2
9 SLC 3
14 SLC 4
7 SLC 5
35 SLC 5
3 SLC 5
19 SLC 5
5 SLC 3
29 SLC 3
18 SLC 4
4 SLC 2
33 SLC 3
40 SLC 2
34 SLC 4
37 SLC 3
32 SLC 2
10 SLC 4
12 SLC 2
13 SLC 3
26 SLC 4
30 SLC 4
39 SLC 5
27 SLC 5
36 SLC 2
6 SLC 4
28 SLC 2
20 SLC 2
38 SLC 4
